,GeoAreaName,TimePeriod,Value_M,Value_F,Gender_ratio
0,Albania,2011.0,0.34708,2.1875,6.3025815374
1,Algeria,2012.0,0.83333,2.70833,3.25000900004
2,Argentina,2013.0,3.89425,9.69299,2.48905180715
3,Armenia,2008.0,0.582638333333,2.77986,4.7711587806
4,Australia,2006.0,2.01375,4.86125,2.41402855369
5,Austria,2009.0,1.22482285714,2.44470142857,1.99596326466
6,Belarus,2015.0,0.69458,2.22208,3.19917072188
7,Belgium,2013.0,0.859224285714,1.50131,1.74728534209
8,Bhutan,2015.0,0.97208,2.56958,2.64338326064
9,Brazil,2009.0,0.83333,2.70833,3.25000900004
10,Bulgaria,2010.0,0.34708,1.04167,3.00123890746
11,Cameroon,2014.0,0.902797142857,2.31416571429,2.56332857563
12,Canada,2016.0,1.166668,1.66666833333,1.42857122449
13,Chile,2015.0,2.48208166667,5.53632,2.23051484339
14,China,2018.0,1.75157333333,4.26694555556,2.43606446522
15,"China, Hong Kong Special Administrative Region",2013.0,0.83333,2.08333,2.50000600002
16,Colombia,2013.0,0.75,2.30952285714,3.07936380952
17,Costa Rica,2017.0,1.23446285714,3.23428571429,2.61999435266
18,Denmark,2009.0,1.875,3.26375,1.74066666667
19,Dominican Republic,2016.0,1.64536,8.72993,5.30578718335
20,Ecuador,2012.0,0.93084,3.83852,4.12371621331
21,Egypt,2015.0,0.55542,3.54167,6.3765618811
22,El Salvador,2010.0,0.90863,3.58397,3.94436679396
23,Estonia,2010.0,0.76375,2.1007325,2.75054991817
24,Ethiopia,2013.0,0.55542,3.26375,5.87618378884
25,Fiji,2016.0,1.62284666667,4.522015,2.78647089271
26,Finland,2010.0,0.721428571429,1.59226285714,2.2070970297
27,France,2010.0,1.08423666667,2.25361,2.07852221686
28,Germany,2013.0,0.8825,2.2947925,2.60033144476
29,Ghana,2009.0,0.76375,3.68042,4.81888052373
30,Greece,2014.0,1.04160714286,1.46827428571,1.40962386422
31,Guatemala,2014.0,0.80815,4.26033,5.27170698509
32,Honduras,2009.0,1.39926,1.80434,1.28949587639
33,Hungary,2010.0,1.00553571429,2.36380857143,2.35079524063
34,Iran (Islamic Republic of),2009.0,0.625,2.29167,3.666672
35,Iraq,2007.0,0.34708,3.125,9.00368791057
36,Ireland,2005.0,2.01375,7.91667,3.93130726257
37,Italy,2014.0,1.0,1.93333333333,1.93333333333
38,Japan,2016.0,0.57286625,2.38713375,4.16700015056
39,Kazakhstan,2018.0,0.942441428571,2.49006,2.64213766979
40,Kyrgyzstan,2015.0,0.55542,1.18042,2.12527456699
41,Lao People's Democratic Republic,2017.0,5.928055,7.64840166667,1.29020423506
42,Latvia,2003.0,0.76375,2.22208,2.90943371522
43,Liberia,2010.0,0.46958,1.33042,2.83321265812
44,Lithuania,2003.0,0.374098333333,1.42826666667,3.81789101796
45,Luxembourg,2014.0,0.76375,1.73625,2.27332242226
46,Malaysia,2003.0,1.52792,3.95833,2.59066574166
47,Malta,2002.0,0.76375,1.66667,2.1822193126
48,Mauritius,2003.0,0.90292,3.05542,3.38393213131
49,Mexico,2014.0,3.80179857143,9.41785428571,2.47721022268
50,Mongolia,2015.0,1.63863,3.09202571429,1.88695783324
51,Netherlands,2012.0,1.18042,2.29167,1.94140221277
52,New Zealand,2010.0,1.31958,3.33333,2.52605374437
53,North Macedonia,2015.0,0.45139,1.22687666667,2.71799700185
54,Norway,2011.0,1.81529857143,2.31011857143,1.27258325864
55,Oman,2008.0,5.0,8.09021,1.618042
56,Pakistan,2007.0,0.625,3.81958,6.111328
57,Panama,2011.0,1.11769,3.93179,3.51778221153
58,Paraguay,2016.0,1.67916666667,3.59388833333,2.1402808933
59,Peru,2010.0,1.63297857143,4.24410714286,2.59899744988
60,Poland,2013.0,1.09047428571,2.68809428571,2.46506893462
61,Portugal,2015.0,2.761875,5.03889,1.82444534963
62,Qatar,2013.0,0.12729,1.48152666667,11.6389870898
63,Republic of Korea,2014.0,0.783925714286,2.42023714286,3.08732970325
64,Republic of Moldova,2012.0,0.486785714286,1.89660857143,3.89618782098
65,Romania,2012.0,0.509375,1.34257,2.6357202454
66,Russian Federation,2014.0,1.52792,4.375,2.86336980994
67,R̩union,2010.0,0.97208,2.15292,2.21475598716
68,Serbia,2015.0,1.39430666667,3.54486333333,2.54238426745
69,Slovenia,2001.0,0.97208,2.29167,2.35749115299
70,South Africa,2010.0,0.34708,2.01375,5.80197648957
71,Spain,2010.0,1.66667,2.98625,1.79174641651
72,State of Palestine,2013.0,0.62506,3.25398714286,5.20587966412
73,Sweden,2011.0,1.77104333333,2.38492833333,1.34662336514
74,Switzerland,2016.0,1.58819666667,2.374305,1.4949691369
75,Thailand,2015.0,0.58333,2.04167,3.50002571443
76,Tunisia,2006.0,0.34708,1.66667,4.80197648957
77,Turkey,2015.0,0.625765,2.18500166667,3.49172879063
78,United Kingdom of Great Britain and Northern Ireland,2015.0,1.04840166667,2.42396,2.31205279147
79,United Republic of Tanzania,2014.0,0.625,2.84708,4.555328
80,United States of America,2017.0,1.51785714286,2.92857142857,1.92941176471
81,Uruguay,2013.0,2.754,5.56969,2.02240014524
